id,latitude,longitude,bathrooms,bedrooms,fee,has_photo,pets_allowed,square_feet,price
5668626895,38.9057,-76.9861,,0,No,Thumbnail,,101,790
5664597177,37.968,-87.6621,,1,No,Thumbnail,,106,425
5668626833,38.891,-77.0816,1,0,No,Thumbnail,,107,1390
5659918074,47.616,-122.3275,1,0,No,Thumbnail,,116,925
5668626759,38.8738,-77.1055,,0,No,Thumbnail,,125,880
5667891676,40.7629,-73.9885,1,0,No,Thumbnail,,130,2475
5668627426,33.9932,-118.4609,,0,No,Thumbnail,,132,1800
5668626687,38.9328,-77.0297,,0,No,Thumbnail,,136,840
5668610290,37.7599,-122.4379,1,0,No,Thumbnail,,138,1495
5668627023,38.9118,-77.0132,,0,No,Thumbnail,,141,890
5668627099,38.9118,-77.0132,,0,No,Thumbnail,,146,990
5668626548,38.9118,-77.0132,,0,No,Thumbnail,,150,840
5664598162,32.2264,-110.9438,,1,No,Thumbnail,"Cats,Dogs",156,1795
5668626900,38.9118,-77.0132,,0,No,Thumbnail,,178,1090
5664571820,37.7599,-122.4379,1,0,No,Thumbnail,,190,1695
5654898031,35.096,-77.0272,1,1,No,Thumbnail,"Cats,Dogs",200,1560
5664574876,30.0871,-95.4685,1,1,No,Thumbnail,,200,1000
5668633573,38.1172,-122.2313,1,1,No,Thumbnail,,200,950
5668624220,33.9649,-84.5107,1,1,No,Thumbnail,,200,625
5653564493,35.2016,-80.8124,1,1,No,Thumbnail,,200,600
5668622178,30.4601,-84.2714,1,1,No,Thumbnail,,200,544
5664567303,38.9057,-76.9861,1,1,No,Thumbnail,,200,525
5664577209,33.5178,-112.0848,1,1,No,Thumbnail,,200,450
5664574105,27.8492,-82.3155,1,1,No,Thumbnail,,215,750
5668624126,32.8956,-85.4351,1,1,No,Thumbnail,,219,2000
5668624017,37.7599,-122.4379,1,1,No,Thumbnail,,219,1400
5668624367,39.1634,-76.6165,1,1,No,Thumbnail,,219,1095
5664570217,39.5816,-105.0387,1,1,No,Thumbnail,,219,915
5664574791,38.621,-76.9225,1,1,No,Thumbnail,,219,900
5664573949,27.8492,-82.3155,1,1,No,Thumbnail,,219,865
5668619369,28.0076,-82.4792,1,1,No,Thumbnail,,219,750
5664570058,39.6828,-104.8078,1,1,No,Thumbnail,,219,725
5668624549,38.7418,-77.4684,1,1,No,Thumbnail,,219,650
5664572906,33.7416,-84.2614,1,1,No,Thumbnail,,219,650
5668624370,28.0076,-82.4792,1,1,No,Thumbnail,,219,645
5668625590,35.1038,-106.611,1,1,No,Thumbnail,,219,595
5664573404,27.8492,-82.3155,1,1,No,Thumbnail,,220,750
5668634310,47.616,-122.3275,1,0,No,Thumbnail,"Cats,Dogs",223,1195
5668640879,47.616,-122.3275,1,0,No,Thumbnail,,225,1150
5668625234,41.8625,-87.6825,1,1,No,Thumbnail,Cats,225,942
5668639212,47.616,-122.3275,1,0,No,Thumbnail,"Cats,Dogs",228,1250
5659899323,35.224,-81.1809,1,1,No,Thumbnail,,230,800
5664573954,27.7011,-82.3178,1,1,No,Thumbnail,,230,685
5668628531,35.1211,-89.9517,1,1,No,Thumbnail,"Cats,Dogs",230,525
5668639708,47.616,-122.3275,1,0,No,Thumbnail,Cats,231,1095
5668612110,37.7599,-122.4379,1,0,No,Thumbnail,"Cats,Dogs",232,1695
5668626855,38.9118,-77.0132,,0,No,Thumbnail,,239,990
5668636830,48.7871,-122.4437,1,1,No,Thumbnail,Cats,240,775
5668629000,47.616,-122.3275,1,0,No,Thumbnail,"Cats,Dogs",243,1299
5668620457,61.1723,-149.8414,1,1,No,Thumbnail,"Cats,Dogs",245,705
5664571995,37.6019,-122.4863,1,1,No,Thumbnail,,250,1800
5653561496,33.9855,-118.4532,1,1,No,Thumbnail,,250,1600
5668624072,37.7599,-122.4379,1,1,No,Thumbnail,,250,1500
5664579604,34.145,-118.3898,1,1,No,Thumbnail,,250,1330
5668623065,34.2805,-118.8861,1,1,No,Thumbnail,,250,1310
5664579928,33.8363,-118.333,1,1,No,Thumbnail,,250,1300
5664568684,38.5587,-121.432,1,1,No,Thumbnail,,250,1295
5653562721,34.2017,-118.492,1,1,No,Thumbnail,,250,1255
5664574541,47.616,-122.3275,1,1,No,Thumbnail,,250,1250
5648113719,34.1881,-118.3905,1,1,No,Thumbnail,,250,1250
5664570234,39.736,-104.9819,1,1,No,Thumbnail,,250,1200
5664571553,39.6828,-104.8078,1,1,No,Thumbnail,,250,1200
5668620616,37.9353,-121.6935,1,1,No,Thumbnail,,250,1175
5664571823,37.9917,-122.5247,1,1,No,Thumbnail,,250,1155
5664573458,39.1088,-77.2384,1,1,No,Thumbnail,,250,1150
5668624849,42.6484,-71.1615,1,1,No,Thumbnail,,250,1145
5668624024,37.7904,-122.2151,1,1,No,Thumbnail,,250,1135
5668623989,37.9724,-122.3304,1,1,No,Thumbnail,,250,1115
5664596354,41.8625,-87.6825,1,0,No,Thumbnail,,250,1095
5668624552,38.7999,-77.1072,1,1,No,Thumbnail,,250,1090
5664577920,41.8625,-87.6825,1,1,No,Thumbnail,,250,1075
5668623116,34.2009,-118.8636,1,1,No,Thumbnail,,250,1050
5668623643,39.736,-104.9819,1,1,No,Thumbnail,,250,1050
5664574855,38.786,-77.2858,1,1,No,Thumbnail,,250,1045
5668624504,47.5988,-122.1507,1,1,No,Thumbnail,,250,1025
5664574093,39.8163,-98.5576,1,1,No,Thumbnail,,250,1025
5664568674,38.3918,-121.2234,1,1,No,Thumbnail,,250,1005
5668623133,34.1677,-118.6141,1,1,No,Thumbnail,,250,1000
5668624299,25.7603,-80.3005,1,1,No,Thumbnail,,250,1000
5668624350,38.9633,-76.9375,1,1,No,Thumbnail,,250,1000
5664571557,39.8644,-105.0454,1,1,No,Thumbnail,,250,1000
5664570140,39.6828,-104.8078,1,1,No,Thumbnail,,250,1000
5664571542,39.8228,-105.1107,1,1,No,Thumbnail,,250,1000
5659898514,33.7606,-118.0806,1,1,No,Thumbnail,,250,1000
5668624441,33.1463,-117.1694,1,1,No,Thumbnail,,250,975
5664578591,39.8587,-74.8101,1,1,No,Thumbnail,,250,965
5668624721,39.1634,-76.6165,1,1,No,Thumbnail,,250,955
5664571537,39.5816,-105.0387,1,1,No,Thumbnail,,250,950
5664571551,39.6828,-104.8078,1,1,No,Thumbnail,,250,950
5664572242,37.9682,-122.0091,1,1,No,Thumbnail,,250,930
5668619413,39.9999,-105.0993,1,1,No,Thumbnail,,250,925
5664574194,32.6197,-117.0226,1,1,No,Thumbnail,,250,925
5664571566,39.1634,-76.6165,1,1,No,Thumbnail,,250,925
5668612560,39.5516,-104.969,1,1,No,Thumbnail,,250,915
5668624591,39.0976,-76.8614,1,1,No,Thumbnail,,250,900
5668622471,28.5163,-81.3644,1,1,No,Thumbnail,,250,900
5668619405,40.0213,-105.2552,1,1,No,Thumbnail,,250,900
5664571546,39.6828,-104.8078,1,1,No,Thumbnail,,250,900
5659899184,34.0291,-117.9457,1,1,No,Thumbnail,,250,900
5648113751,33.8323,-117.9079,1,1,No,Thumbnail,,250,900
5664570238,39.8312,-104.8942,1,1,No,Thumbnail,,250,895
5664571538,39.8228,-105.1107,1,1,No,Thumbnail,,250,895
5664574816,38.8738,-77.1055,1,1,No,Thumbnail,,250,875
5668619515,26.1806,-81.7257,1,1,No,Thumbnail,,250,865
5668624193,33.7848,-84.3922,1,1,No,Thumbnail,,250,865
5668622813,27.3181,-82.4987,1,1,No,Thumbnail,,250,860
5668623669,39.6828,-104.8078,1,1,No,Thumbnail,,250,855
5668624596,38.69,-77.2065,1,1,No,Thumbnail,,250,850
5668619325,40.0994,-104.8079,1,1,No,Thumbnail,,250,850
5668624585,38.6487,-77.3152,1,1,No,Thumbnail,,250,850
5668622159,36.137,-86.783,1,1,No,Thumbnail,,250,850
